???q?N??,???q?W??,"???~???J","???~????","???~???Q?]???l?^","?????{?P?f?]?l?^?q","?w???{?P?f?]?l?^?q","???~???Q?]???l?^?b?B","???~?O??","???L???q?ζO?l?b?B","???~?Q?q?]?l???^","???~?~???J?Τ??X","?|?e?b?Q?]?b?l?^","?ұo?|?O?Ρ]?Q?q?^","?~?????~???쥻?��b?Q?]?b?l?^","???~?????l?q","?X?֫e?D?ݦ@?P???????v?l?q","???��b?Q?]?b?l?^","???L???X?l?q?]?b?B?^","?X?֫e?D?ݦ@?P???????v???X?l?q?b?B","???��??X?l?q?`?B","?b?Q?]?b?l?^?k?ݩ??��??q?~?D","?b?Q?]?b?l?^?k?ݩ??@?P?????U?e???v?q","?b?Q?]?b?l?^?k?ݩ??D?????v?q","???X?l?q?`?B?k?ݩ??��??q?~?D","???X?l?q?`?B?k?ݩ??@?P?????U?e???v?q","???X?l?q?`?B?k?ݩ??D?????v?q","?򥻨C?Ѭվl?]???^",
"2546","?ڰ?",2631336.00,2499211.00,132125.00,--,--,132125.00,59515.00,--,72610.00,42450.00,115060.00,14715.00,100345.00,--,--,100345.00,119522.00,--,219867.00,100338.00,--,7.00,219834.00,--,33.00,0.95,
"2547","????",892135.00,281256.00,610879.00,--,--,610879.00,824599.00,--,-213720.00,-355332.00,-569052.00,23006.00,-592058.00,--,--,-592058.00,589.00,--,-591469.00,-593054.00,--,996.00,-592465.00,--,996.00,-0.72,
"2548","?ةT?س]",8420523.00,5056356.00,3364167.00,--,--,3364167.00,298317.00,--,3065850.00,27813.00,3093663.00,75853.00,3017810.00,--,--,3017810.00,69173.00,--,3086983.00,3022919.00,--,-5109.00,3078283.00,--,8700.00,10.93,
"2597","?���???K",6667730.00,5838329.00,829401.00,--,--,829401.00,275230.00,--,554171.00,-12645.00,541526.00,81622.00,459904.00,--,--,459904.00,-197918.00,--,261986.00,450041.00,--,9863.00,252842.00,--,9144.00,3.33,
"2601","?q??",3927021.00,922330.00,3004691.00,--,--,3004691.00,2499422.00,--,505269.00,-339946.00,165323.00,311169.00,-145846.00,--,--,-145846.00,472556.00,--,326710.00,-359308.00,--,213462.00,12661.00,--,314049.00,-0.98,
"2603","???a???B",69877430.00,69935999.00,-58569.00,--,--,-58569.00,2702742.00,--,-2761311.00,338187.00,-2423124.00,103031.00,-2526155.00,--,--,-2526155.00,1543111.00,--,-983044.00,-2239212.00,--,-286943.00,-1004372.00,--,21328.00,-0.64,
"2605","?s??",2579319.00,1479979.00,1099340.00,--,--,1099340.00,96854.00,71161.00,1073647.00,-75916.00,997731.00,106774.00,890957.00,0.00,--,890957.00,581835.00,--,1472792.00,564762.00,--,326195.00,1077694.00,--,395098.00,0.99,
"2606","?Υ?",3297082.00,3146529.00,150553.00,--,--,150553.00,130841.00,--,19712.00,453304.00,473016.00,35258.00,437758.00,--,--,437758.00,1463705.00,--,1901463.00,437758.00,--,--,1901463.00,--,--,0.51,
"2607","?a?B",3038474.00,2643866.00,394608.00,--,--,394608.00,110156.00,--,284452.00,37298.00,321750.00,55588.00,266162.00,--,--,266162.00,263799.00,--,529961.00,265809.00,--,353.00,529594.00,--,367.00,0.25,
"2608","?Ũ??j?a",3561532.00,2891708.00,669824.00,--,--,669824.00,217689.00,--,452135.00,74097.00,526232.00,109505.00,416727.00,0.00,--,416727.00,3862.00,--,420589.00,408186.00,--,8541.00,414777.00,--,5812.00,0.84,
"2609","???????B",57388212.00,59807359.00,-2419147.00,--,--,-2419147.00,2914233.00,71835.00,-5261545.00,-826425.00,-6087970.00,-789581.00,-5298389.00,--,--,-5298389.00,58531.00,--,-5239858.00,-5323245.00,--,24856.00,-5280655.00,--,40797.00,-1.62,
"2610","?د?",67263535.00,62436989.00,4826546.00,--,--,4826546.00,5304948.00,--,-478402.00,-592621.00,-1071023.00,100646.00,-1171669.00,--,--,-1171669.00,48289.00,--,-1123380.00,-1222875.00,--,51206.00,-1175598.00,--,52218.00,-0.24,
"2611","?ӫH",766248.00,616555.00,149693.00,--,--,149693.00,166031.00,--,-16338.00,23608.00,7270.00,50132.00,-42862.00,--,--,-42862.00,-5511.00,--,-48373.00,-36661.00,--,-6201.00,-38937.00,--,-9436.00,-0.21,
"2612","????",1631165.00,1233240.00,397925.00,--,--,397925.00,140422.00,--,257503.00,-43223.00,214280.00,21427.00,192853.00,--,--,192853.00,289088.00,--,481941.00,192853.00,--,0.00,481941.00,--,0.00,0.75,
"2613","???d",1251536.00,1158236.00,93300.00,--,--,93300.00,52248.00,--,41052.00,-8122.00,32930.00,4399.00,28531.00,--,--,28531.00,46.00,--,28577.00,28529.00,--,2.00,28575.00,--,2.00,0.40,
"2614","?F??",5960413.00,4324521.00,1635892.00,--,--,1635892.00,1869289.00,--,-233397.00,181959.00,-51438.00,35963.00,-87401.00,--,--,-87401.00,83019.00,--,-4382.00,-115001.00,--,27600.00,-31286.00,--,26904.00,-0.08,
