???q?N??,???q?W??,???~???J,???~????,???~???Q?]???l?^,?????{?P?f?]?l?^?q,?w???{?P?f?]?l?^?q,???~???Q?]???l?^?b?B,???~?O??,???L???q?ζO?l?b?B,???~?Q?q?]?l???^,???~?~???J?Τ??X,?|?e?b?Q?]?b?l?^,?ұo?|?O?Ρ]?Q?q?^,?~?????~???쥻?��b?Q?]?b?l?^,???~?????l?q,?X?֫e?D?ݦ@?P???????v?l?q,???��b?Q?]?b?l?^,???L???X?l?q?]?b?B?^,?X?֫e?D?ݦ@?P???????v???X?l?q?b?B,???��??X?l?q?`?B,?b?Q?]?b?l?^?k?ݩ??��??q?~?D,?b?Q?]?b?l?^?k?ݩ??@?P?????U?e???v?q,?b?Q?]?b?l?^?k?ݩ??D?????v?q,???X?l?q?`?B?k?ݩ??��??q?~?D,???X?l?q?`?B?k?ݩ??@?P?????U?e???v?q,???X?l?q?`?B?k?ݩ??D?????v?q,?򥻨C?Ѭվl?]???^,
2008,??????,1296528.00,1552419.00,-255891.00,--,--,-255891.00,117095.00,--,-372986.00,5686388.00,5313402.00,73175.00,5240227.00,--,--,5240227.00,136094.00,--,5376321.00,--,--,--,--,--,--,13.04,
2009,?Ĥ@????,3778037.00,3868828.00,-90791.00,--,--,-90791.00,73700.00,--,-164491.00,193022.00,28531.00,526.00,28005.00,--,--,28005.00,-160947.00,--,-132942.00,--,--,--,--,--,--,0.08,
2010,?K?????K,19782375.00,18523499.00,1258876.00,--,--,1258876.00,861445.00,--,397431.00,135045.00,532476.00,70762.00,461714.00,--,--,461714.00,214395.00,--,676109.00,467990.00,--,-6276.00,662274.00,--,13835.00,0.72,
2012,?K?B,8397647.00,7047666.00,1349981.00,--,--,1349981.00,1092826.00,--,257155.00,34535.00,291690.00,76635.00,215055.00,--,--,215055.00,112375.00,--,327430.00,141598.00,--,73457.00,247074.00,--,80356.00,0.54,
2013,?????c,19567517.00,18738663.00,828854.00,--,--,828854.00,395050.00,--,433804.00,92099.00,525903.00,90372.00,435531.00,0.00,--,435531.00,29260.00,--,464791.00,435531.00,--,--,464791.00,--,--,2.25,
2014,???E,38855230.00,37526651.00,1328579.00,--,--,1328579.00,1158403.00,--,170176.00,-30191.00,139985.00,628.00,139357.00,--,--,139357.00,-98955.00,--,40402.00,139357.00,--,--,40402.00,--,--,0.10,
2015,?׿????K,29899588.00,27588501.00,2311087.00,--,--,2311087.00,690730.00,--,1620357.00,108526.00,1728883.00,282552.00,1446331.00,--,--,1446331.00,13108.00,--,1459439.00,1446331.00,--,0.00,1459439.00,--,0.00,2.49,
2017,?x?п?,5885806.00,5518687.00,367119.00,--,--,367119.00,368272.00,--,-1153.00,15845.00,14692.00,32726.00,-18034.00,--,--,-18034.00,-1080.00,--,-19114.00,-121389.00,--,103355.00,-122230.00,--,103116.00,-0.32,
2020,???ȿ???,5331072.00,4794407.00,536665.00,--,--,536665.00,280358.00,--,256307.00,-14668.00,241639.00,59618.00,182021.00,--,--,182021.00,20525.00,--,202546.00,178012.00,--,4009.00,192076.00,--,10470.00,0.68,
2022,?E??,10144869.00,9803077.00,341792.00,--,--,341792.00,544089.00,--,-202297.00,-321257.00,-523554.00,-96681.00,-426873.00,--,--,-426873.00,-140768.00,--,-567641.00,-335685.00,--,-91188.00,-490585.00,--,-77056.00,-0.65,
2023,?M??,54861313.00,51178191.00,3683122.00,--,--,3683122.00,2562081.00,--,1121041.00,-506485.00,614556.00,251208.00,363348.00,--,--,363348.00,227875.00,--,591223.00,771983.00,--,-408635.00,822158.00,--,-230935.00,0.47,
2024,???p?u?~,1609950.00,1429392.00,180558.00,--,--,180558.00,93425.00,--,87133.00,-20689.00,66444.00,424.00,66020.00,-20537.00,--,45483.00,19846.00,--,65329.00,51970.00,0.00,-6487.00,67329.00,--,-2000.00,0.47,
2025,?d??,4148699.00,4408889.00,-260190.00,--,--,-260190.00,90252.00,--,-350442.00,15875.00,-334567.00,5.00,-334572.00,--,--,-334572.00,35042.00,--,-299530.00,-334575.00,--,3.00,-299548.00,--,18.00,-1.19,
2027,?j????,38609467.00,33988268.00,4621199.00,--,--,4621199.00,3963296.00,--,657903.00,-121682.00,536221.00,218882.00,317339.00,--,--,317339.00,148990.00,--,466329.00,222305.00,--,95034.00,380483.00,--,85846.00,0.29,
2028,?­P???K,10418424.00,10565922.00,-147498.00,--,--,-147498.00,253551.00,--,-401049.00,46584.00,-354465.00,0.00,-354465.00,--,--,-354465.00,-4245.00,--,-358710.00,--,--,--,--,--,--,-1.34,
2029,???l,15175038.00,13559569.00,1615469.00,--,--,1615469.00,795985.00,--,819484.00,-152777.00,666707.00,153931.00,512776.00,--,--,512776.00,72147.00,--,584923.00,511982.00,--,794.00,581390.00,--,3533.00,1.59,
2030,????,12983533.00,11998244.00,985289.00,--,--,985289.00,805343.00,--,179946.00,-106563.00,73383.00,35684.00,37699.00,--,--,37699.00,119014.00,--,156713.00,37729.00,--,-30.00,156743.00,--,-30.00,0.15,
2031,?s????,8623884.00,8144598.00,479286.00,--,--,479286.00,217556.00,186424.00,448154.00,-96352.00,351802.00,19119.00,332683.00,--,--,332683.00,6642.00,--,339325.00,331162.00,--,1521.00,337763.00,--,1562.00,1.20,
2032,?s???u?~,3484026.00,3346378.00,137648.00,--,--,137648.00,103859.00,--,33789.00,15971.00,49760.00,7846.00,41914.00,--,--,41914.00,5488.00,--,47402.00,--,--,--,--,--,--,0.32,
2033,?Τj?@??,822103.00,758207.00,63896.00,--,--,63896.00,85382.00,--,-21486.00,-567.00,-22053.00,-2691.00,-19362.00,--,--,-19362.00,920.00,--,-18442.00,--,--,--,--,--,--,-0.24,
2034,???j,23846654.00,22204373.00,1642281.00,--,--,1642281.00,979649.00,--,662632.00,80972.00,743604.00,90697.00,652907.00,0.00,--,652907.00,-22875.00,--,630032.00,652907.00,--,0.00,630032.00,--,0.00,1.76,
2038,???????~,11842149.00,11674243.00,167906.00,--,--,167906.00,191591.00,--,-23685.00,-45264.00,-68949.00,-9126.00,-59823.00,0.00,--,-59823.00,5525.00,--,-54298.00,-65184.00,--,5361.00,-59659.00,--,5361.00,-0.38,
2049,?W?Ȭ???,12442866.00,7834804.00,4608062.00,--,--,4608062.00,2239192.00,--,2368870.00,135440.00,2504310.00,591486.00,1912824.00,--,--,1912824.00,52406.00,--,1965230.00,2021585.00,--,-108761.00,2073991.00,--,-108761.00,7.96,
2059,?t??,3770103.00,1790738.00,1979365.00,--,--,1979365.00,483358.00,--,1496007.00,177610.00,1673617.00,277622.00,1395995.00,--,--,1395995.00,-1185.00,--,1394810.00,1395995.00,--,--,1394810.00,--,--,14.89,
2062,????,5927937.00,4369329.00,1558608.00,--,--,1558608.00,597559.00,--,961049.00,148512.00,1109561.00,204391.00,905170.00,--,--,905170.00,167163.00,--,1072333.00,905170.00,--,--,1072333.00,--,--,5.55,
2101,?n?????L,13141668.00,11184607.00,1957061.00,--,--,1957061.00,1323987.00,29745.00,662819.00,-53231.00,609588.00,150286.00,459302.00,--,--,459302.00,455156.00,--,914458.00,459302.00,--,--,914458.00,--,--,0.55,
2102,???׽??L,8288301.00,6490116.00,1798185.00,--,--,1798185.00,1010294.00,--,787891.00,26085.00,813976.00,175801.00,638175.00,--,--,638175.00,158633.00,--,796808.00,638175.00,--,0.00,796808.00,--,0.00,1.55,
2103,?x??,34422999.00,30155898.00,4267101.00,--,--,4267101.00,2327025.00,124856.00,2064932.00,37070.00,2102002.00,386520.00,1715482.00,--,--,1715482.00,522061.00,--,2237543.00,1495011.00,--,220471.00,1984662.00,--,252881.00,1.90,
2104,????,21538510.00,17867605.00,3670905.00,--,--,3670905.00,1634274.00,--,2036631.00,-184669.00,1851962.00,1194834.00,657128.00,--,--,657128.00,1324042.00,--,1981170.00,810387.00,--,-153259.00,2119088.00,--,-137918.00,1.50,
2105,???s,133086543.00,97758748.00,35327795.00,--,--,35327795.00,13113024.00,--,22214771.00,1046270.00,23261041.00,4619122.00,18641919.00,--,--,18641919.00,2159184.00,--,20801103.00,18548522.00,--,93397.00,20762696.00,--,38407.00,5.72,
2106,?ؤj,32450584.00,24362996.00,8087588.00,--,--,8087588.00,3865830.00,--,4221758.00,116652.00,4338410.00,971448.00,3366962.00,--,--,3366962.00,695071.00,--,4062033.00,3237744.00,129218.00,--,3926739.00,135294.00,--,4.41,
2107,?p??,4120132.00,1734477.00,2385655.00,--,--,2385655.00,400064.00,--,1985591.00,114239.00,2099830.00,173372.00,1926458.00,--,--,1926458.00,287139.00,--,2213597.00,1926466.00,--,-8.00,2213597.00,--,--,3.87,
2108,?n?ҤƤu,8534153.00,7346520.00,1187633.00,--,--,1187633.00,841419.00,--,346214.00,50856.00,397070.00,71602.00,325468.00,--,--,325468.00,181859.00,--,507327.00,325038.00,--,430.00,506545.00,--,782.00,0.81,
2109,???׾???,7474971.00,5894935.00,1580036.00,--,--,1580036.00,995781.00,--,584255.00,38724.00,622979.00,140352.00,482627.00,--,--,482627.00,-30457.00,--,452170.00,325957.00,--,156670.00,336082.00,--,116088.00,1.10,
2114,?ʥû?,1818853.00,1195048.00,623805.00,--,--,623805.00,143586.00,--,480219.00,29586.00,509805.00,73092.00,436713.00,--,--,436713.00,6267.00,--,442980.00,436713.00,--,--,442980.00,--,--,7.11,
2115,F-???u,2400859.00,1956765.00,444094.00,--,--,444094.00,249495.00,--,194599.00,-32795.00,161804.00,54979.00,106825.00,--,--,106825.00,73192.00,--,180017.00,106825.00,--,--,180017.00,--,--,1.77,
2201,?ζ??T??,93217451.00,78882482.00,14334969.00,--,1637.00,14336606.00,14705300.00,--,-368694.00,3675988.00,3307294.00,1016226.00,2291068.00,--,--,2291068.00,1830145.00,--,4121213.00,2371183.00,--,-80115.00,4001033.00,--,120180.00,1.62,
2204,???بT??,35539825.00,30385269.00,5154556.00,--,27927.00,5182483.00,3801974.00,--,1380509.00,1685439.00,3065948.00,314926.00,2751022.00,--,--,2751022.00,1916382.00,--,4667404.00,2531878.00,--,219144.00,4368486.00,--,298918.00,1.86,
2206,?T???u?~,32626286.00,28254224.00,4372062.00,--,--,4372062.00,5269695.00,--,-897633.00,621774.00,-275859.00,241246.00,-517105.00,--,--,-517105.00,943029.00,--,425924.00,-474054.00,--,-43051.00,359154.00,--,66770.00,-0.56,
2207,?M???T??,146466911.00,128577607.00,17889304.00,11914.00,6920.00,17884310.00,10711895.00,--,7172415.00,3398849.00,10571264.00,1938013.00,8633251.00,--,--,8633251.00,236208.00,--,8869459.00,7650112.00,--,983139.00,7871803.00,--,997656.00,14.01,
2208,?x??q,24892573.00,24033879.00,858694.00,--,--,858694.00,516771.00,--,341923.00,160480.00,502403.00,62602.00,439801.00,--,--,439801.00,38256.00,--,478057.00,436902.00,--,2899.00,475158.00,--,2899.00,0.59,
2227,?ζ??鲣,31486050.00,26037200.00,5448850.00,--,--,5448850.00,3616656.00,-15.00,1832179.00,6974711.00,8806890.00,1506893.00,7299997.00,--,--,7299997.00,1115187.00,--,8415184.00,7299997.00,--,--,8415184.00,--,--,24.33,
2228,?C??,3020479.00,2186128.00,834351.00,--,--,834351.00,437499.00,--,396852.00,59918.00,456770.00,123635.00,333135.00,--,--,333135.00,77504.00,--,410639.00,333135.00,--,--,410639.00,--,--,5.09,
2231,????,1498942.00,852092.00,646850.00,--,--,646850.00,234544.00,--,412306.00,18498.00,430804.00,65161.00,365643.00,0.00,--,365643.00,14860.00,--,380503.00,363841.00,--,1802.00,378040.00,--,2463.00,6.00,
2301,???_????,213214297.00,182713703.00,30500594.00,--,--,30500594.00,20458304.00,--,10042290.00,1477489.00,11519779.00,2629288.00,8890491.00,--,--,8890491.00,3141023.00,--,12031514.00,8754848.00,--,135643.00,11608664.00,--,422850.00,3.83,
2302,?R??,624596.00,536164.00,88432.00,--,--,88432.00,178047.00,72516.00,-17099.00,45059.00,27960.00,2201.00,25759.00,--,--,25759.00,31415.00,--,57174.00,25759.00,--,--,57174.00,--,--,0.16,
2303,?p?q,123811636.00,100248661.00,23562975.00,0.00,0.00,23562975.00,19405523.00,-125332.00,4032120.00,10329674.00,14361794.00,2256834.00,12104960.00,--,--,12104960.00,154137.00,--,12259097.00,12630203.00,--,-525243.00,12773120.00,--,-514023.00,1.01,
2305,???͹q??,707029.00,439494.00,267535.00,--,--,267535.00,389746.00,--,-122211.00,78168.00,-44043.00,12767.00,-56810.00,--,--,-56810.00,64434.00,--,7624.00,-48811.00,--,-7999.00,13435.00,--,-5811.00,-0.24,
2308,?x?F?q,177053122.00,132033192.00,45019930.00,--,--,45019930.00,25511548.00,--,19508382.00,2988172.00,22496554.00,3581786.00,18914768.00,119628.00,--,19034396.00,5848924.00,--,24883320.00,17776202.00,--,1258194.00,23004286.00,--,1879034.00,7.32,
2311,??????,219862446.00,177048702.00,42813744.00,--,--,42813744.00,20769421.00,--,22044323.00,-2687631.00,19356692.00,3201652.00,16155040.00,--,--,16155040.00,3238026.00,--,19393066.00,15689074.00,--,465966.00,18798923.00,--,594143.00,2.09,
