公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
1451,年興紡織,9951354,9118342,833012,--,--,833012,592301,--,240711,488671,729382,171172,558210,--,--,558210,-253775,--,304435,564285,--,-6075,308713,--,-4278,1.41
1452,宏益,1540168,1370692,169476,--,--,169476,68003,--,101473,38573,140046,13561,126485,--,--,126485,-3788,--,122697,--,--,--,--,--,--,0.95
1453,大將,178625,191014,-12389,--,--,-12389,28027,--,-40416,8489,-31927,774,-32701,--,--,-32701,-1211,--,-33912,-32449,--,-252,-33660,--,-252,-0.37
1454,台富,1571902,1445844,126058,--,--,126058,92976,60,33142,20811,53953,4144,49809,--,--,49809,-37053,--,12756,49808,--,1,12755,--,1,0.38
1455,集盛,13470910,13137339,333571,--,--,333571,324929,--,8642,47758,56400,26336,30064,--,--,30064,26,--,30090,30064,--,--,30090,--,--,0.05
1456,怡華,694785,692863,1922,--,--,1922,76361,33,-74406,-1028768,-1103174,-1148,-1102026,--,--,-1102026,954201,--,-147825,-1102026,--,--,-147825,--,--,-5.28
1457,宜進,3468672,3261350,207322,--,--,207322,145737,--,61585,86703,148288,4240,144048,--,--,144048,-2286,--,141762,81051,--,62997,78770,--,62992,0.31
1459,聯發紡織,2965091,2828354,136737,--,--,136737,118634,--,18103,147866,165969,22273,143696,--,--,143696,-141846,--,1850,142674,--,1022,828,--,1022,0.45
1460,宏遠,5836665,4834966,1001699,--,--,1001699,808152,-6256,187291,65333,252624,33648,218976,--,--,218976,9239,--,228215,218980,--,-4,228219,--,-4,0.5
1463,強盛染整,792526,707794,84732,--,--,84732,88825,--,-4093,35830,31737,3958,27779,--,--,27779,4718,--,32497,40419,--,-12640,42926,--,-10429,0.25
1464,得力實業,3797129,3318882,478247,--,--,478247,462374,-6305,9568,30475,40043,3057,36986,--,--,36986,9569,--,46555,39988,--,-3002,47606,--,-1051,0.18
1465,偉全實業,1984215,1731029,253186,--,--,253186,173572,--,79614,53457,133071,10915,122156,--,--,122156,-2375,--,119781,79934,--,42222,87176,--,32605,0.77
1466,聚隆,3722102,3457984,264118,0,0,264118,252381,--,11737,23963,35700,5578,30122,0,--,30122,0,--,30122,30122,0,0,30122,0,0,0.3
1467,南緯實業,5330810,4358584,972226,--,--,972226,873508,--,98718,-18102,80616,17307,63309,--,--,63309,-29001,--,34308,96162,--,-32853,61776,--,-27468,0.5
1468,昶和纖維,497812,420011,77801,--,--,77801,115556,--,-37755,-3250,-41005,--,-41005,--,--,-41005,2344,--,-38661,-37252,--,-3753,-35389,--,-3272,-0.23
1469,理隆纖維,393249,349758,43491,--,--,43491,39269,--,4222,3648,7870,507,7363,--,--,7363,193111,--,200474,7363,--,0,200474,--,0,0.06
1470,大統染,552660,440750,111910,--,--,111910,63676,1736,49970,5044,55014,9321,45693,--,--,45693,-5144,--,40549,--,--,--,--,--,--,0.53
1471,首利,3057845,2954564,103281,--,--,103281,209060,--,-105779,49851,-55928,5448,-61376,--,--,-61376,41154,--,-20222,-61376,--,--,-20222,--,--,-0.3
1472,三洋紡,779118,775545,3573,--,--,3573,63234,16348,-43313,-4226,-47539,226,-47765,--,--,-47765,4095,--,-43670,-45670,--,-2095,-41575,--,-2095,-0.66
1473,台南企業,6904118,5561304,1342814,--,--,1342814,1572236,--,-229422,104346,-125076,96400,-221476,--,--,-221476,29766,--,-191710,65878,--,-287354,89541,--,-281251,0.45
1474,弘裕,2557336,2363559,193777,--,--,193777,177202,--,16575,12944,29519,5680,23839,--,--,23839,2659,--,26498,23839,--,--,26498,--,--,0.18
1475,本盟光電,154148,188340,-34192,--,--,-34192,36133,--,-70325,7243,-63082,-30,-63052,--,--,-63052,-697,--,-63749,-38716,--,-24336,-38975,--,-24774,-0.74
1476,儒鴻,15061492,11178246,3883246,--,--,3883246,1413416,--,2469830,136627,2606457,523529,2082928,--,--,2082928,36976,--,2119904,2082226,--,702,2130016,--,-10112,7.98
1477,聚陽實業,15519860,12077812,3442048,--,--,3442048,1776346,--,1665702,-56502,1609200,309236,1299964,--,--,1299964,35043,--,1335007,1299072,--,892,1333877,--,1130,7.52
1503,士電,14532566,11491409,3041157,--,--,3041157,2033777,--,1007380,295955,1303335,254917,1048418,--,--,1048418,56463,--,1104881,990831,--,57587,1042475,--,62406,1.9
1504,東元電機,41224290,30950010,10274280,9459,10330,10275151,6658197,--,3616954,1130015,4746969,1101775,3645194,--,--,3645194,2206425,--,5851619,3365612,--,279582,5430247,--,421372,1.71
1506,正道,1153981,978662,175319,--,--,175319,153866,--,21453,-12844,8609,1753,6856,--,--,6856,12443,--,19299,10749,--,-3893,20439,--,-1140,0.09
1507,永大機電,17189770,12710378,4479392,--,--,4479392,2473088,--,2006304,127105,2133409,515619,1617790,0,--,1617790,112834,--,1730624,1588818,--,28972,1701652,--,28972,3.89
1512,瑞利,2747013,2432871,314142,--,--,314142,431466,--,-117324,-41097,-158421,43611,-202032,--,--,-202032,16362,--,-185670,-205914,--,3882,-190202,--,4532,-1.13
1513,中興電,7699216,6362172,1337044,--,--,1337044,971477,--,365567,127462,493029,105454,387575,--,--,387575,-127235,--,260340,391718,--,-4143,262544,--,-2204,0.84
1514,亞力電機,2227813,1925153,302660,314,--,302346,286068,--,16278,32834,49112,-2956,52068,0,--,52068,267,--,52335,51198,--,870,51335,--,1000,0.26
1515,力山,2562524,2083586,478938,0,--,478938,415530,--,63408,24982,88390,25585,62805,--,--,62805,-143693,--,-80888,63637,--,-832,-80175,--,-713,0.35
1516,川飛,147405,131652,15753,--,--,15753,8976,0,6777,5411,12188,0,12188,0,--,12188,0,--,12188,--,--,--,--,--,--,0.6
1517,利奇機械,2827494,2367538,459956,--,--,459956,255324,--,204632,83169,287801,84948,202853,--,--,202853,-8739,--,194114,168580,--,34273,166284,--,27830,0.74
